location,date,reef,reef.rad,halo.rad,halo.wid
guam,20141102,2,13.33189614,23.50981908,10.17792295
guam,20141102,3,13.21085975,23.04331944,9.832459696
guam,20141102,4,23.39780484,36.22557345,12.8277686
guam,20141211,3,14.41311115,26.95968211,12.54657096
guam,20141211,4,24.57610675,38.48578915,13.90968241
guam,20141230,1,14.39480654,25.41339178,11.01858524
guam,20141230,2,14.43396964,26.37201224,11.9380426
guam,20141230,3,14.40380201,26.48291419,12.07911219
guam,20141230,4,24.22171986,35.66528592,11.44356606
guam,20150212,1,14.39335135,26.62383609,12.23048474
guam,20150212,2,14.66659516,23.79552425,9.128929085
guam,20150212,4,24.26934221,36.97436016,12.70501795
guam,20150311,1,14.9829538,28.95392823,13.97097443
guam,20150311,2,14.58473194,26.63055949,12.04582756
guam,20150311,3,14.92944081,25.71935079,10.78990997
guam,20150311,4,25.46149181,38.55651917,13.09502736
guam,20150319,2,14.94419776,28.33190495,13.38770719
guam,20150319,3,14.39834663,26.28244365,11.88409702
guam,20150319,4,25.33190547,38.56797615,13.23607068
guam,20150418,1,14.71189261,26.84800536,12.13611275
guam,20150418,2,15.40922704,28.28327554,12.8740485
guam,20150418,3,14.21918317,25.03278055,10.81359738
guam,20150418,4,25.51826582,39.39509973,13.87683391
guam,20150511,2,15.56234355,24.37237884,8.810035295
guam,20150511,3,14.41333903,24.58697201,10.17363298
guam,20150511,4,24.29693409,35.94026635,11.64333226
guam,20150517,1,15.13504397,26.95878228,11.82373831
guam,20150517,2,14.70620921,25.42731762,10.7211084
guam,20150522,1,14.74823028,25.94308857,11.19485829
guam,20150522,2,15.48421971,24.71001939,9.225799679
guam,20150522,3,13.94548776,25.26534168,11.31985392
guam,20150522,4,25.16359063,37.13300072,11.96941009
guam,20160111,1,14.95645736,22.48225126,7.525793893
guam,20160111,2,14.94737162,23.05626133,8.108889709
guam,20160111,3,14.65773804,22.62756435,7.969826314
guam,20160111,4,24.90769728,40.88990979,15.98221251
guam,20160119,1,15.16355861,23.97362142,8.810062811
guam,20160119,2,15.2297297,24.51175216,9.282022463
guam,20160119,3,14.45167529,25.30721342,10.85553814
guam,20160119,4,25.50668964,37.20005209,11.69336244
guam,20160120,1,14.9100485,26.69726458,11.78721608
guam,20160120,2,15.67664555,26.54644227,10.86979671
guam,20160120,3,15.39842663,25.95782246,10.55939583
guam,20160120,4,26.36590665,37.1907048,10.82479815
guam,20160205,1,14.44035191,26.23056022,11.79020831
guam,20160205,2,14.98736478,28.75759267,13.77022789
guam,20160205,3,14.55430915,26.38327207,11.82896292
guam,20160205,4,25.45838675,37.45656026,11.99817352
guam,20160410,1,14.77083989,26.17946329,11.4086234
guam,20160410,2,15.18648735,24.8316204,9.645133053
guam,20160410,3,14.32388345,25.02862939,10.70474594
guam,20160410,4,25.04801312,38.8761405,13.82812738